subject,predicate,object,truth,kl,adamic_adar,degree_product,kl_rel,jaccard,katz,ks,simrank,pathent,predpath,pra,ensemble_score
http://dbpedia.org/resource/Gulf_and_Western_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1,0.12749,0.952585,27202.0,0.912337,0.005198,0.2945,0.168146,0.000151,4626.690472,1.0,1.0,0.6873347149219311
"http://dbpedia.org/resource/Paramount_Pictures__Paramount_Communications,_Inc.__1",http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Simon_&_Schuster,1,0.089198,0.609705,11256.0,0.155311,0.003168,0.0205,0.08362,0.000308,2107.671393,1.0,1.0,0.6930964738431569
http://dbpedia.org/resource/OOh!media,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Junkee_Media,1,0.08127,0.0,30.0,0.048527,0.0,0.0,0.027852,0.000231,-19.492325,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Viacom_(2005–2019),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1,0.107218,1.880311,371970.0,0.67829,0.001423,1.6535,0.17278,9.1e-05,5005.172886,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1,0.08871,3.665983,446364.0,0.288067,0.0026,0.082,0.150921,8.6e-05,11333.337784,1.0,1.0,0.6834284649219311
http://dbpedia.org/resource/Gulf_and_Western_Industries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Paramount_Pictures,1,0.107218,2.882566,119857.0,0.641477,0.00265,0.87025,0.165258,0.000204,29358.449639,1.0,1.0,0.6799217177628402
http://dbpedia.org/resource/Fenway_Sports_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Boston_Red_Sox,1,0.128744,0.771699,15642.0,0.729614,0.00226,0.14925,0.165928,0.000492,7307.236743,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Endemol_Shine_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Endemol_Shine_North_America,1,0.153529,1.878022,7440.0,0.352821,0.028249,0.032875,0.217033,0.000395,10855.206193,1.0,0.0,0.6466779686895624
http://dbpedia.org/resource/Fox_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Fox_Broadcasting_Company,1,0.127199,4.009134,43930.0,0.820536,0.013158,0.2055,0.186858,0.000745,22239.041607,1.0,1.0,0.6795222149219311
http://dbpedia.org/resource/Interscope_Communications,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Interscope_Records,1,0.078298,0.248425,99459.0,0.135859,0.000425,0.312875,0.038934,7.7e-05,22146.886221,1.0,1.0,0.6873347149219311
http://dbpedia.org/resource/Penske_Media_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Rolling_Stone,1,0.244436,0.0,440.0,0.754327,0.0,0.010625,0.20653,0.000288,4905.447686,1.0,0.0,0.6514816004463192
http://dbpedia.org/resource/Viacom_(1952–2006),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/CBS,1,0.111699,7.412703,307044.0,0.912337,0.007167,0.652875,0.187254,0.000677,8533.701505,1.0,1.0,0.6834284649219311
http://dbpedia.org/resource/CBS_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/CBS,1,0.091756,2.335417,125092.0,0.207074,0.002431,0.68425,0.097808,0.00033,3557.820431,1.0,1.0,0.6852839738431569
http://dbpedia.org/resource/Universal_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Film,1,0.119364,3.270394,6492800.0,0.687362,0.002125,2.77725,0.20233,2.8e-05,5993.572078,0.0,1.0,0.45755438509373075
http://dbpedia.org/resource/Aeolian_Company,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Vocalion_Records,1,0.169769,0.417032,1330.0,0.70344,0.007042,0.039,0.172958,0.000546,30417.017875,1.0,1.0,0.6877342177628402
http://dbpedia.org/resource/Amazon_(company),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Amazon_(company),1,1.0,0.0,29929.0,1.0,1.0,0.958375,0.0,0.206483,22842.47588,1.0,1.0,0.6873347149219311
http://dbpedia.org/resource/Sony_Music_Entertainment_Japan,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Sony_Music_Entertainment_Japan,1,1.0,0.0,635209.0,1.0,1.0,2.7595,0.0,0.20517,13602.180843,1.0,1.0,0.6892878399219311
http://dbpedia.org/resource/MGM_Television,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Artists,1,0.09231,2.972788,643080.0,0.194812,0.004091,0.066625,0.122518,0.000109,3301.530323,1.0,1.0,0.6833308488431569
http://dbpedia.org/resource/Annapurna_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Artists,1,0.089529,1.885157,96928.0,0.175724,0.003141,0.019125,0.110724,0.000117,661.510734,0.0,0.0,0.23882072312390343
http://dbpedia.org/resource/Ultra_Super_Pictures,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Liden_Films,1,0.312771,1.381676,99.0,0.912337,0.333333,0.020625,0.418282,0.01218,6425.792388,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/Mainichi_Broadcasting_System,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/MBS_TV,1,0.110653,0.0,37009.0,0.085987,0.0,0.001125,0.070327,0.004767,184.10633,0.0,0.0,0.25633058957914184
"http://dbpedia.org/resource/Tokyo_Broadcasting_System__TBS_Holdings,_Inc.__1",http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/TBS_Television_(Japan),1,0.092919,0.418976,3938.0,0.120003,0.01005,0.04875,0.065919,0.000363,5133.444657,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/United_Nations_Special_Rapporteur_on_Minority_Issues,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/United_Nations_special_rapporteur,1,0.052321,0.0,8.0,0.022261,0.0,0.0,0.009019,1.9e-05,-21.399215,0.0,0.0,0.3526850874006654
http://dbpedia.org/resource/Amuse_Inc.,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/JVCKenwood_Victor_Entertainment,1,0.104918,0.516578,22128.0,0.174607,0.003945,0.015,0.07197,0.000479,997.773977,1.0,0.0,0.6501687609521738
http://dbpedia.org/resource/Culture_Convenience_Club,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Esquire_(magazine),1,0.057208,0.0,180.0,0.039828,0.0,0.000125,0.026519,7.1e-05,-5.108847,0.0,0.0,0.25568380321155837
http://dbpedia.org/resource/HBO_Latin_America_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/HBO,1,0.08188,0.398848,22932.0,0.129219,0.002208,0.240375,0.061022,8e-05,4648.344076,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Nokia,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Bell_Labs,1,0.152157,0.170378,93102.0,0.912337,0.001623,0.0875,0.190924,9e-05,3694.857481,1.0,1.0,0.6911433488431569
http://dbpedia.org/resource/Microsoft,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/GitHub,1,0.302793,0.0,10890.0,0.748993,0.0,0.16475,0.288077,0.001027,4285.944235,0.0,1.0,0.47108227803420744
http://dbpedia.org/resource/Lufthansa_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Lufthansa,1,0.219522,6.621652,665.0,0.912337,0.384615,0.08475,0.48926,0.009726,70897.461403,1.0,1.0,0.7014165263668906
http://dbpedia.org/resource/EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Virgin_Records,1,0.096549,88.720971,5966275.0,0.221185,0.049785,1.566875,0.117633,0.000434,8156.330325,1.0,1.0,0.6789160726805518
http://dbpedia.org/resource/Granada_plc,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/ITV_Granada,1,0.150721,1.285842,10920.0,0.820536,0.009494,0.139875,0.231405,0.000512,4380.078259,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/AMC_Networks,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/RLJE_Films,1,0.154505,0.40243,18802.0,0.912337,0.003165,0.048875,0.230032,6.9e-05,4058.589459,1.0,1.0,0.6916916860757772
http://dbpedia.org/resource/WWE,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/World_Championship_Wrestling,1,0.164268,1.292207,106758.0,0.912337,0.004896,0.142375,0.246547,0.000288,3860.949506,1.0,1.0,0.6852839738431569
http://dbpedia.org/resource/WWE_Libraries,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/World_Championship_Wrestling,1,0.133799,1.435331,1944.0,0.349578,0.029586,0.042125,0.114189,0.001586,5164.735793,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/UK_Asset_Resolution,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Bradford_&_Bingley,1,0.383224,0.324981,35.0,0.912337,0.2,0.01225,0.410694,0.010922,2827.006053,1.0,1.0,0.6930964738431569
http://dbpedia.org/resource/Mahindra_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Mahindra_&_Mahindra_Financial_Services_Limited,1,0.2943,0.232001,341.0,0.912337,0.05,0.02375,0.289753,0.001576,12734.057463,1.0,1.0,0.6892878399219311
http://dbpedia.org/resource/Truphone,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Hong_Kong,1,0.106839,0.0,12816.0,0.706064,0.0,1.643625,0.094389,0.000246,4272.196547,0.0,1.0,0.47108227803420744
http://dbpedia.org/resource/National_Book_Store,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Hong_Kong,1,0.059417,0.0,51264.0,0.064088,0.0,0.021875,0.026216,2.3e-05,2826.795128,0.0,0.0,0.2621513222997971
http://dbpedia.org/resource/Schneider_Kreuznach,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Hong_Kong,1,0.052006,0.0,21360.0,0.049803,0.0,0.003,0.02001,1e-05,230.094627,0.0,0.0,0.25633058957914184
http://dbpedia.org/resource/Lili_Diamonds,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Hong_Kong,1,0.061235,0.0,17088.0,0.078539,0.0,0.00225,0.029302,1.4e-05,1009.288244,0.0,0.0,0.2544886572486052
http://dbpedia.org/resource/Microsoft,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/LinkedIn,1,0.257045,1.536528,19602.0,0.748993,0.002717,0.340625,0.392879,0.001297,6652.671629,0.0,1.0,0.45950751009373075
http://dbpedia.org/resource/Oracle_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Endeca,1,0.358197,0.0,774.0,0.912337,0.0,0.023375,0.352021,0.000177,8611.477968,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/SM_Entertainment,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/SM_Entertainment,1,1.0,0.0,105625.0,1.0,1.0,1.191625,0.0,0.203835,47124.985962,1.0,1.0,0.6896873427628402
http://dbpedia.org/resource/20th_Century_Studios,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Regency_Enterprises,1,0.131348,24.60052,383526.0,0.247559,0.024454,0.183,0.170561,0.000477,3959.657113,1.0,0.0,0.6408161870930125
http://dbpedia.org/resource/Fox_Entertainment_Group,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Regency_Enterprises,1,0.079631,0.0,7301.0,0.103496,0.0,0.045125,0.056508,0.000109,3810.719417,1.0,1.0,0.6911433488431569
http://dbpedia.org/resource/Saab_AB,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Saab_AB,1,1.0,0.0,2500.0,1.0,1.0,0.162125,0.0,0.210066,4183.128592,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Investor_AB,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Saab_AB,1,0.15334,1.669538,1150.0,0.294215,0.057971,0.041375,0.22691,0.001857,15505.133941,1.0,1.0,0.6814753399219311
http://dbpedia.org/resource/EBay,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Blue_Sky_Studios,1,0.069857,0.0,1054.0,0.047422,0.0,0.000875,0.018465,6.4e-05,123.997965,1.0,0.0,0.6526711561005198
http://dbpedia.org/resource/Pegula_Sports_and_Entertainment,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Buffalo_Bills,1,0.104297,2.139502,41147.0,0.234735,0.002212,0.0275,0.080497,0.000884,1754.536299,1.0,0.0,0.6439832692046535
http://dbpedia.org/resource/Air_China,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Tibet_Airlines,1,0.358197,0.766227,180.0,0.912337,0.090909,0.016375,0.375071,0.004593,6064.420633,1.0,1.0,0.6912409649219311
http://dbpedia.org/resource/Thorn_EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/EMI,1,0.092597,1.118752,54075.0,0.300747,0.00193,0.38825,0.075188,0.000264,20721.748512,1.0,1.0,0.6834284649219311
http://dbpedia.org/resource/Dayton's,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Target_Corporation,1,0.232784,1.322696,270.0,0.912337,0.121212,0.01975,0.337128,0.004416,2240.375597,1.0,1.0,0.6872370988431569
http://dbpedia.org/resource/Gannett,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/USA_Today,1,0.159808,1.118446,6984.0,0.169828,0.009615,0.031375,0.080788,0.000908,3283.297685,0.0,0.0,0.2520431755658616
http://dbpedia.org/resource/EMI,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Capitol_Records,1,0.095961,98.58645,7946450.0,0.239247,0.045816,1.099125,0.127541,0.000503,6084.499658,1.0,0.0,0.5696956357846411
http://dbpedia.org/resource/Walt_Disney_Studios_(division),http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/20th_Century_Studios,1,0.112953,2.212303,133848.0,0.912337,0.003056,1.1105,0.226246,0.000114,5240.348621,1.0,1.0,0.6853815899219311
http://dbpedia.org/resource/Oracle_Corporation,http://dbpedia.org/ontology/subsidiary,"http://dbpedia.org/resource/New_York,_New_Haven_and_Hartford_Railroad",0,0.065047,0.0,2709.0,0.040243,0.0,0.000125,0.021094,2.9e-05,1.560595,0.0,0.0,0.25568380321155837
http://dbpedia.org/resource/Ascend_Communications,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Maxis,0,0.064435,0.0,136.0,0.038366,0.0,0.00025,0.015327,6.4e-05,11.530867,1.0,0.0,0.649192461406995
http://dbpedia.org/resource/ADC_Telecommunications,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Stratus_Technologies,0,0.051783,0.0,14.0,0.028791,0.0,0.0,0.012766,9e-06,-20.591861,0.0,0.0,0.25105914601500406
http://dbpedia.org/resource/Sybase,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Mozy,0,0.077158,0.0,28.0,0.056402,0.0,0.000125,0.025668,0.000219,-0.651242,0.0,0.0,0.25568380321155837
http://dbpedia.org/resource/Oracle_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Mozy,0,0.086399,0.0,516.0,0.058735,0.0,0.001625,0.036653,0.000103,402.624905,1.0,0.0,0.6536193901516528
http://dbpedia.org/resource/ABC_Family_Worldwide,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Macromedia,0,0.056849,0.0,1230.0,0.042592,0.0,0.00175,0.01601,3e-05,229.961072,1.0,0.0,0.6529929524391926
http://dbpedia.org/resource/Heike_Kamerlingh_Onnes,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Nobel_Prize_in_Physics,0,0.11531,0.40243,4654.0,0.091935,0.004902,0.020125,0.067352,0.000295,2289.115349,0.0,0.0,0.2600216990972019
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Nobel_Prize_in_Physics,0,0.116478,0.888608,4833.0,0.140542,0.014778,0.012125,0.079429,0.000303,965.331814,0.0,0.0,0.2560171898573008
http://dbpedia.org/resource/Wole_Soyinka,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Nobel_Prize_in_Literature,0,0.079429,0.0,180.0,0.048471,0.0,0.0,0.027042,3.1e-05,-16.907367,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Dean_Martin,http://dbpedia.org/ontology/subsidiary,"http://dbpedia.org/resource/Steubenville,_Ohio",0,0.169987,0.0,13728.0,0.534936,0.0,0.038875,0.116205,5.4e-05,5416.88436,0.0,0.0,0.26893857830460904
http://dbpedia.org/resource/Johan_Christian_Fabricius,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Kiel,0,0.059402,0.0,393752.0,0.022669,0.0,0.0,0.012734,1e-05,-5.825065,0.0,0.0,0.25568380321155837
http://dbpedia.org/resource/William_S._Burroughs,http://dbpedia.org/ontology/subsidiary,"http://dbpedia.org/resource/Lawrence,_Kansas",0,0.152784,0.121215,14848.0,0.548782,0.003195,0.05825,0.101724,0.000138,4623.439718,0.0,0.0,0.26893857830460904
http://dbpedia.org/resource/Ferdinand_von_Mueller,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Melbourne,0,0.103731,0.332221,226200.0,0.548782,0.000527,1.419875,0.082956,0.000328,2900.845102,0.0,0.0,0.2648812839240513
http://dbpedia.org/resource/Gro_Harlem_Brundtland,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Norway,0,0.094769,4.503103,1885648.0,0.534936,0.000634,2.9745,0.144349,0.00089,4700.584651,0.0,0.0,0.2502410949464193
http://dbpedia.org/resource/Metta_Sandiford-Artest,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Sacramento_Kings,0,0.11844,1.442695,23058.0,0.192388,0.001136,0.042,0.076778,0.001141,3464.436813,0.0,0.0,0.25009005056586153
http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Aaryn_Doyle,0,0.067598,0.0,55.0,0.039861,0.0,0.0,0.036076,3.9e-05,-18.617857,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Clerk,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Brian_O'Halloran,0,0.055931,0.0,784.0,0.033149,0.0,0.0,0.028739,1.9e-05,-14.784529,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Yoko_Ono,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Belgrade,0,0.065079,0.0,450840.0,0.069969,0.0,0.0005,0.031909,1.5e-05,55.166458,0.0,0.0,0.25508362876678486
http://dbpedia.org/resource/Michael_Chang,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/The_Hague,0,0.05897,0.0,38599.0,0.034323,0.0,0.00175,0.010284,4.4e-05,144.792717,0.0,0.0,0.25633058957914184
http://dbpedia.org/resource/Marge_Piercy,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/New_York_City,0,0.05089,0.0,143946.0,0.067332,0.0,0.02625,0.018278,0.000173,2771.890605,0.0,0.0,0.2621513222997971
http://dbpedia.org/resource/Pete_Wentz,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/San_Francisco,0,0.061561,0.0,283550.0,0.065608,0.0,0.00025,0.02699,5.3e-05,18.59845,0.0,0.0,0.2563580848784309
http://dbpedia.org/resource/Chris_Bosh,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Nobel_Prize_in_Physics,0,0.05977,0.0,3222.0,0.043803,0.0,0.00025,0.020116,1.3e-05,18.279768,0.0,0.0,0.2563580848784309
http://dbpedia.org/resource/Juan_Ramón_Jiménez,http://dbpedia.org/ontology/subsidiary,"http://dbpedia.org/resource/Fort_Worth,_Texas",0,0.051424,0.0,9590.0,0.041416,0.0,0.0,0.019611,1.7e-05,-11.172181,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Joe_Haldeman,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Nobel_Prize_in_Literature,0,0.055995,0.0,170.0,0.038112,0.0,0.0,0.016414,7.4e-05,-16.989829,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/Alexis_Valdés,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Washington_Wizards,0,0.044793,0.0,2061.0,0.031184,0.0,0.0,0.013368,1.2e-05,-13.390131,0.0,0.0,0.3311342425574862
http://dbpedia.org/resource/Mary_Pickford,http://dbpedia.org/ontology/subsidiary,"http://dbpedia.org/resource/Cupertino,_California",0,0.064707,0.0,7810.0,0.03952,0.0,0.0005,0.025731,3.7e-05,22.514089,0.0,0.0,0.2563580848784309
http://dbpedia.org/resource/Chet_Atkins,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Jamie_Yeo,0,0.067423,0.0,148.0,0.035245,0.0,0.0,0.011412,7e-06,-17.189762,0.0,0.0,0.2543592537736247
http://dbpedia.org/resource/NBCUniversal,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Sling_Media,0,0.078275,0.0,2478.0,0.07802,0.0,0.0035,0.02689,5.8e-05,724.219879,1.0,0.0,0.6532889742681942
http://dbpedia.org/resource/Oracle_Corporation,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Quigo,0,0.109482,0.0,516.0,0.093112,0.0,0.001125,0.055683,7.4e-05,148.447462,0.0,0.0,0.25633058957914184
