subject,predicate,object,truth,adamic_adar,katz,jaccard,kl,degree_product,kl_rel,ks,simrank,pathent,predpath,pra,ensemble_score
http://dbpedia.org/resource/George_Frideric_Handel,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Halle_(Saale),1,1.530224,0.010375,0.011905,0.132012,3824.0,0.354104,0.154054,0.001328,559.157744,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Joris_Ivens,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Nijmegen,1,0.105762,0.0345,0.003953,0.063365,5313.0,0.082723,0.034253,0.000167,52271.801762,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/James_Clavell,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sydney,1,0.0,0.000125,0.0,0.055217,121396.0,0.093066,0.049942,1.3e-05,8.386392,1.0,0.0,0.1707337907892251
http://dbpedia.org/resource/F._F._E._Yeo-Thomas,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,1,0.0,0.007,0.0,0.056492,182416.0,0.07655,0.043262,4.7e-05,779.463507,1.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Augustus_II_the_Strong,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Dresden,1,0.0,0.000875,0.0,0.093266,15290.0,0.170009,0.089222,5.6e-05,294.818984,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Abbas_II_of_Egypt,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alexandria,1,0.0,0.002625,0.0,0.078208,5688.0,0.111936,0.047466,0.000256,421.421575,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Ernst_Mayr,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kempten,1,0.0,0.000375,0.0,0.068498,714.0,0.088773,0.030663,5.6e-05,26.146593,1.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Alfred_Hitchcock,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,1,1.347941,0.062125,0.000131,0.077039,2052180.0,0.262126,0.098433,0.000144,3008.368136,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/John_Peel,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Heswall,1,0.0,0.000375,0.0,0.062256,190.0,0.068834,0.029344,0.000215,24.854793,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Frank_Capra,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bisacquino,1,0.0,0.0,0.0,0.062421,396.0,0.057954,0.036735,1.3e-05,-15.769869,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Douglas_Adams,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cambridge,1,0.144453,0.04475,0.000838,0.066815,56154.0,0.123384,0.046232,7.5e-05,3074.043314,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Alexander_Kerensky,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ulyanovsk,1,0.352956,0.00875,0.008475,0.120329,2728.0,0.23975,0.094595,0.000359,1009.951541,1.0,1.0,0.9715515015965954
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Venice,1,1.080865,0.04125,0.002407,0.113519,9852.0,0.331983,0.106547,0.001696,8706.816903,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Joe_Strummer,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ankara,1,0.0,0.0015,0.0,0.054327,70850.0,0.066486,0.031336,9e-06,141.703714,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Amerigo_Vespucci,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Florence,1,0.207457,0.026625,0.000837,0.077518,9504.0,0.162388,0.052621,0.000239,10153.784083,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/James_Wilkinson,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Benedict,_Maryland",1,0.220624,0.002875,0.032258,0.144532,112.0,0.174987,0.061051,0.001663,65.662631,0.0,0.0,0.23561526985958292
http://dbpedia.org/resource/Henry_I_of_England,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Selby,1,0.0,0.00025,0.0,0.060528,1298.0,0.06744,0.027168,0.000177,14.894906,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/J._R._R._Tolkien,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bloemfontein,1,0.222232,0.005125,0.002358,0.089528,39150.0,0.171303,0.049107,6e-05,435.961493,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Arthur_de_Gobineau,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ville-d'Avray,1,0.0,0.000875,0.0,0.091498,209.0,0.117683,0.057426,0.000798,107.208995,1.0,1.0,0.961020241088313
http://dbpedia.org/resource/Eugene_Wigner,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Budapest,1,0.941137,0.144,0.000966,0.082244,61935.0,0.143961,0.091273,0.000739,4210.507274,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/André_Weil,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,1,0.616485,0.081625,0.000298,0.073085,181206.0,0.109896,0.057688,0.00032,13835.575151,0.0,1.0,0.9733465164775477
"http://dbpedia.org/resource/Albert_VII,_Archduke_of_Austria",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Wiener_Neustadt,1,0.0,0.0,0.0,0.06119,930.0,0.060215,0.042898,3.1e-05,-14.538156,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Catherine_of_Aragon,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alcalá_de_Henares,1,0.0,0.0,0.0,0.056907,355.0,0.064271,0.021209,4.3e-05,-15.927549,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Anton_Chekhov,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Taganrog,1,1.590353,0.0165,0.009585,0.127806,24288.0,0.256856,0.195987,0.00133,1264.35766,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/John_A._Roebling,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mühlhausen,1,0.0,0.0,0.0,0.095347,231.0,0.092443,0.048283,7.1e-05,-16.547472,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Cornelius_Johnson_(artist),http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,1,0.096664,0.91525,4.4e-05,0.055645,91208.0,0.108923,0.038072,6.3e-05,2669.252482,0.0,1.0,0.9733465164775477
http://dbpedia.org/resource/C._S._Forester,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cairo,1,0.215313,0.01175,0.000538,0.076002,51296.0,0.167163,0.045344,5.1e-05,1846.340062,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Emma_Goldman,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kaunas,1,0.231616,0.01125,0.002165,0.087846,13792.0,0.176825,0.059434,0.00015,1150.688073,1.0,1.0,0.9733465164775477
"http://dbpedia.org/resource/Christina,_Queen_of_Sweden",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Stockholm,1,0.0,0.00025,0.0,0.065548,25890.0,0.081884,0.041565,0.000546,32.004449,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Gregory_Bateson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Grantchester,1,0.0,0.000375,0.0,0.073541,588.0,0.059199,0.034456,6.8e-05,37.462695,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Abd_al-Rahman_I,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Damascus,1,0.0,0.0,0.0,0.070612,5355.0,0.089886,0.05062,5.2e-05,-12.012694,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Eduard_von_Böhm-Ermolli,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ancona,1,0.0,0.000375,0.0,0.060211,1573.0,0.053938,0.035048,2.1e-05,31.811099,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/John_A._Roebling,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,0,0.360674,0.0055,4.2e-05,0.07216,167937.0,0.180064,0.053454,0.00038,456.799696,0.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Ambrose,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Milan,0,0.0,0.0095,0.0,0.087545,70025.0,0.174781,0.106516,0.001616,2126.031858,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/John_von_Neumann,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Washington,_D.C.",0,0.084576,0.559,0.000121,0.067315,1187272.0,0.10104,0.067282,7.2e-05,1556.222109,1.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Jean-Jacques_Rousseau,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ermenonville,0,0.0,0.001,0.0,0.072277,260.0,0.067205,0.027204,0.00061,122.381917,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/John_Stuart_Mill,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Avignon,0,0.417032,0.006125,0.003623,0.11526,15876.0,0.219461,0.089146,8.9e-05,1164.859764,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Benoit_Mandelbrot,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Cambridge,_Massachusetts",0,0.0,0.001375,0.0,0.081741,15924.0,0.08498,0.052716,5.3e-05,286.772112,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Alfonso_IV_of_Aragon,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Barcelona,0,0.0,0.0005,0.0,0.073844,27440.0,0.121064,0.038926,5.7e-05,215.890256,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Frédéric_Bastiat,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Rome,0,0.146887,0.139,0.000158,0.062315,107117.0,0.110179,0.036062,5.9e-05,9899.634759,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Adelaide_of_Italy,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alsace,0,0.0,0.001375,0.0,0.07767,2223.0,0.091025,0.060507,0.000133,201.066982,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Hawley_Harvey_Crippen,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,0,0.096664,0.910875,4.4e-05,0.065432,91208.0,0.173575,0.06228,0.000457,2652.600683,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Joseph_Conrad,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bishopsbourne,0,0.123816,0.00375,0.027027,0.092011,192.0,0.097609,0.038442,0.001158,149.336756,0.0,0.0,0.2368566906566678
http://dbpedia.org/resource/Aaliyah,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Marsh_Harbour,0,0.5092,0.006625,0.033333,0.169129,432.0,0.223608,0.091095,0.001396,387.993775,0.0,0.0,0.2368566906566678
http://dbpedia.org/resource/John_A._Macdonald,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ottawa,0,0.71473,0.406375,0.001091,0.092233,174655.0,0.226241,0.122323,0.000491,2875.252436,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Irenaeus,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lyon,0,0.648658,0.090875,0.001873,0.102502,12696.0,0.259423,0.091095,0.001071,4319.606404,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Fay_Wray,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,0,0.276938,0.009875,4.2e-05,0.068044,1415469.0,0.166069,0.080177,8.4e-05,1091.232642,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Austen_Henry_Layard,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,0,0.712288,0.06475,0.000131,0.074978,342030.0,0.203822,0.075505,0.000476,4371.957919,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Bernardo_O'Higgins,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lima,0,0.937034,0.006875,0.001187,0.097944,34986.0,0.267774,0.106148,0.000488,423.898753,0.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Henry_Moseley,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Gelibolu,0,0.0,0.000875,0.0,0.075922,336.0,0.090471,0.035065,0.000117,151.950499,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/George_Frideric_Handel,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,0,0.096664,0.91125,4.4e-05,0.063236,364832.0,0.169541,0.06294,0.000199,2348.902413,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Joris_Ivens,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,0,0.0,0.007625,0.0,0.064847,231541.0,0.125505,0.068829,0.000168,4492.551394,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Abd_al-Rahman_I,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Córdoba,_Spain",0,0.0,0.0,0.0,0.072711,1680.0,0.080308,0.042977,6.9e-05,-13.685016,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Alexander_Kerensky,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,0,0.100422,1.107375,4.2e-05,0.067251,743721.0,0.103718,0.065254,4.2e-05,2424.559422,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,0,0.0,0.003,0.0,0.061882,120804.0,0.103169,0.049194,3.8e-05,564.08977,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Joe_Strummer,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Broomfield,_Somerset",0,0.0,0.000125,0.0,0.059163,715.0,0.058214,0.024273,6.1e-05,-2.521487,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Amerigo_Vespucci,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Seville,0,0.0,0.00125,0.0,0.071116,5416.0,0.121196,0.045743,6.7e-05,226.454277,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/James_Wilkinson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mexico_City,0,0.700454,0.7095,0.000673,0.106414,124180.0,0.805968,0.139068,0.000152,3476.420921,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Henry_I_of_England,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lyons-la-Forêt,0,0.0,0.0,0.0,0.08401,66.0,0.072681,0.03651,0.000575,-18.354823,0.0,0.0,0.1937434634082727
http://dbpedia.org/resource/J._R._R._Tolkien,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bournemouth,0,0.685235,0.013875,0.003478,0.112574,59670.0,0.265601,0.107931,0.000255,1166.61031,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Arthur_de_Gobineau,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Turin,0,0.12629,0.026875,0.000782,0.06225,13959.0,0.09691,0.038601,0.000105,4577.412179,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Eugene_Wigner,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",0,0.0,0.002,0.0,0.084006,7845.0,0.088558,0.062358,0.000188,314.774106,0.0,1.0,0.961020241088313
http://dbpedia.org/resource/André_Weil,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",0,0.0,0.005375,0.0,0.071613,9414.0,0.081159,0.049475,6.9e-05,703.115319,0.0,0.0,0.1707337907892251
"http://dbpedia.org/resource/Albert_VII,_Archduke_of_Austria",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Brussels,0,0.0,0.00025,0.0,0.088681,29040.0,0.08912,0.068612,0.000118,34.054133,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Catherine_of_Aragon,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Huntingdonshire,0,0.0,0.0,0.0,0.062229,885.0,0.060485,0.034708,5.8e-05,-14.609705,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Anton_Chekhov,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Badenweiler,0,0.0,0.0005,0.0,0.100484,1188.0,0.118131,0.04635,5.5e-05,61.520854,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Cornelius_Johnson_(artist),http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Utrecht,0,0.105762,0.06625,0.001629,0.069679,2444.0,0.112736,0.035739,0.000326,4277.485803,0.0,0.0,0.2368566906566678
http://dbpedia.org/resource/C._S._Forester,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Fullerton,_California",0,0.0,0.0,0.0,0.049811,5376.0,0.056758,0.02954,3.8e-05,-12.007066,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Emma_Goldman,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Toronto,0,0.0,0.002125,0.0,0.059939,280832.0,0.09106,0.035587,3.8e-05,309.403521,0.0,0.0,0.1707337907892251
"http://dbpedia.org/resource/Christina,_Queen_of_Sweden",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Rome,0,0.0,0.0,0.0,0.051437,37806.0,0.077227,0.036432,2.2e-05,-9.193915,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Gregory_Bateson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/San_Francisco,0,0.217147,0.005375,0.000185,0.073474,262150.0,0.113514,0.072037,8.4e-05,449.960038,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Eduard_von_Böhm-Ermolli,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Opava,0,0.0,0.0,0.0,0.060184,1023.0,0.066521,0.034114,5e-05,-14.400655,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/James_Clavell,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vevey,0,0.0,0.001375,0.0,0.078017,1628.0,0.10262,0.047514,7.3e-05,204.836932,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/F._F._E._Yeo-Thomas,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,0,0.0,0.02775,0.0,0.059228,80536.0,0.073735,0.035594,4.1e-05,3290.044711,1.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Augustus_II_the_Strong,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw,0,0.0,0.0015,0.0,0.072804,67914.0,0.119732,0.076128,0.000168,252.209542,1.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Abbas_II_of_Egypt,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Geneva,0,0.0,0.00025,0.0,0.066441,9126.0,0.092211,0.031819,9e-06,27.564951,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Ernst_Mayr,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Bedford,_Massachusetts",0,0.0,0.0,0.0,0.058851,816.0,0.052923,0.026388,6.3e-05,-14.726814,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Alfred_Hitchcock,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Bel_Air,_Los_Angeles",0,0.378095,0.01,0.016,0.122034,3330.0,0.163801,0.064054,0.000153,984.435873,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/John_Peel,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cusco,0,0.0,0.0,0.0,0.047338,1000.0,0.051028,0.022248,1.8e-05,-14.43346,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Frank_Capra,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/La_Quinta,_California",0,0.0,0.00025,0.0,0.065209,1716.0,0.063938,0.043971,9.5e-05,26.399012,0.0,0.0,0.1956965884082727
http://dbpedia.org/resource/Douglas_Adams,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Santa_Barbara,_California",0,0.0,0.0035,0.0,0.076004,36456.0,0.129723,0.052054,4.3e-05,453.765184,0.0,0.0,0.1707337907892251
http://dbpedia.org/resource/Ivan_Bunin,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,0,0.090548,0.959125,9.9e-05,0.059537,181206.0,0.103024,0.040226,0.000325,2341.764899,0.0,0.0,0.18698206983478136
"http://dbpedia.org/resource/Diana,_Princess_of_Wales",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,0,0.352956,0.002625,9.9e-05,0.076627,221474.0,0.108928,0.046393,0.000116,27.666072,0.0,0.0,0.18698206983478136
"http://dbpedia.org/resource/Francis_II,_Holy_Roman_Emperor",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,0,0.936018,0.01,0.000513,0.08818,127710.0,0.097107,0.076245,0.000369,577.921317,1.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Bill_Clinton,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Hope,_Arkansas",1,0.926604,0.01875,0.002882,0.137785,57188.0,0.22825,0.136562,0.00028,1327.866032,0.0,0.0,0.18698206983478136
http://dbpedia.org/resource/Michael_Jackson,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Gary,_Indiana",1,0.231616,0.178875,0.001733,0.090464,83080.0,0.142846,0.110316,9.7e-05,17754.179223,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Paul_McCartney,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Liverpool,1,1.397449,0.57525,0.001538,0.090274,838950.0,0.217653,0.124124,9.3e-05,5685.460112,1.0,1.0,0.9733465164775477
http://dbpedia.org/resource/Frank_Sinatra,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Hoboken,_New_Jersey",1,0.0,0.084,0.0,0.086584,38372.0,0.105832,0.066929,7.1e-05,6347.613998,1.0,1.0,0.961020241088313
